L,N,LgramLength,Algorithm name,Criteria name,False Negative
10,10000,1,vigenereMonogram,Criteria 1.3,0.736
100,10000,1,vigenereMonogram,Criteria 1.3,0.999
1000,10000,1,vigenereMonogram,Criteria 1.3,1.000
1000,10000,1,vigenereMonogram,Criteria 1.3,1.000
10000,1000,1,vigenereMonogram,Criteria 1.3,1.000

10,10000,1,vigenereBigram,Criteria 1.3,0.735
100,10000,1,vigenereBigram,Criteria 1.3,1.000
1000,10000,1,vigenereBigram,Criteria 1.3,1.000
1000,10000,1,vigenereBigram,Criteria 1.3,1.000
10000,1000,1,vigenereBigram,Criteria 1.3,1.000

10,10000,2,vigenereMonogram,Criteria 1.3,0.532
100,10000,2,vigenereMonogram,Criteria 1.3,0.999
1000,10000,2,vigenereMonogram,Criteria 1.3,1.000
1000,10000,2,vigenereMonogram,Criteria 1.3,1.000
10000,1000,2,vigenereMonogram,Criteria 1.3,1.000

10,10000,2,vigenereBigram,Criteria 1.3,0.532
100,10000,2,vigenereBigram,Criteria 1.3,0.999
1000,10000,2,vigenereBigram,Criteria 1.3,1.000
1000,10000,2,vigenereBigram,Criteria 1.3,1.000
10000,1000,2,vigenereBigram,Criteria 1.3,1.000

10,10000,1,affineMonogram,Criteria 1.3,0.641
100,10000,1,affineMonogram,Criteria 1.3,0.848
1000,10000,1,affineMonogram,Criteria 1.3,0.862
1000,10000,1,affineMonogram,Criteria 1.3,0.862
10000,1000,1,affineMonogram,Criteria 1.3,0.838

10,10000,1,affineBigram,Criteria 1.3,0.720
100,10000,1,affineBigram,Criteria 1.3,0.991
1000,10000,1,affineBigram,Criteria 1.3,0.997
1000,10000,1,affineBigram,Criteria 1.3,0.996
10000,1000,1,affineBigram,Criteria 1.3,0.996

10,10000,2,affineMonogram,Criteria 1.3,0.466
100,10000,2,affineMonogram,Criteria 1.3,0.900
1000,10000,2,affineMonogram,Criteria 1.3,0.924
1000,10000,2,affineMonogram,Criteria 1.3,0.926
10000,1000,2,affineMonogram,Criteria 1.3,0.908

10,10000,2,affineBigram,Criteria 1.3,0.513
100,10000,2,affineBigram,Criteria 1.3,0.987
1000,10000,2,affineBigram,Criteria 1.3,0.993
1000,10000,2,affineBigram,Criteria 1.3,0.994
10000,1000,2,affineBigram,Criteria 1.3,0.996

10,10000,1,uniformMonogram,Criteria 1.3,0.740
100,10000,1,uniformMonogram,Criteria 1.3,1.000
1000,10000,1,uniformMonogram,Criteria 1.3,1.000
1000,10000,1,uniformMonogram,Criteria 1.3,1.000
10000,1000,1,uniformMonogram,Criteria 1.3,1.000

10,10000,1,uniformBigram,Criteria 1.3,0.789
100,10000,1,uniformBigram,Criteria 1.3,1.000
1000,10000,1,uniformBigram,Criteria 1.3,1.000
1000,10000,1,uniformBigram,Criteria 1.3,1.000
10000,1000,1,uniformBigram,Criteria 1.3,1.000

10,10000,2,uniformMonogram,Criteria 1.3,0.523
100,10000,2,uniformMonogram,Criteria 1.3,1.000
1000,10000,2,uniformMonogram,Criteria 1.3,1.000
1000,10000,2,uniformMonogram,Criteria 1.3,1.000
10000,1000,2,uniformMonogram,Criteria 1.3,1.000

10,10000,2,uniformBigram,Criteria 1.3,0.600
100,10000,2,uniformBigram,Criteria 1.3,1.000
1000,10000,2,uniformBigram,Criteria 1.3,1.000
1000,10000,2,uniformBigram,Criteria 1.3,1.000
10000,1000,2,uniformBigram,Criteria 1.3,1.000

10,10000,1,recurrentMonogram,Criteria 1.3,0.561
100,10000,1,recurrentMonogram,Criteria 1.3,0.691
1000,10000,1,recurrentMonogram,Criteria 1.3,0.691
1000,10000,1,recurrentMonogram,Criteria 1.3,0.676
10000,1000,1,recurrentMonogram,Criteria 1.3,0.692

10,10000,1,recurrentBigram,Criteria 1.3,0.725
100,10000,1,recurrentBigram,Criteria 1.3,0.994
1000,10000,1,recurrentBigram,Criteria 1.3,1.000
1000,10000,1,recurrentBigram,Criteria 1.3,1.000
10000,1000,1,recurrentBigram,Criteria 1.3,0.999

10,10000,2,recurrentMonogram,Criteria 1.3,0.377
100,10000,2,recurrentMonogram,Criteria 1.3,0.633
1000,10000,2,recurrentMonogram,Criteria 1.3,0.624
1000,10000,2,recurrentMonogram,Criteria 1.3,0.623
10000,1000,2,recurrentMonogram,Criteria 1.3,0.626

10,10000,2,recurrentBigram,Criteria 1.3,0.533
100,10000,2,recurrentBigram,Criteria 1.3,0.994
1000,10000,2,recurrentBigram,Criteria 1.3,1.000
1000,10000,2,recurrentBigram,Criteria 1.3,1.000
10000,1000,2,recurrentBigram,Criteria 1.3,1.000

